0,repos/ocelotconsulting/voice-framework-boilerplate,Billing,2,goodAddress,yesNoType
,repos/3unyt/Alexa-Intern-Helper,CaptureUserNameIntent,1,name,AMAZON.FirstName
,repos/AdminAlexaBledina/AlexaDocumentation/03,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/AdminAlexaBledina/AlexaDocumentation/03,RegisterBirthdayIntent,1,month,MonthType
,repos/AdminAlexaBledina/AlexaDocumentation/03,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/AdminAlexaBledina/AlexaDocumentation/04,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/AdminAlexaBledina/AlexaDocumentation/04,RegisterBirthdayIntent,1,month,MonthType
,repos/AdminAlexaBledina/AlexaDocumentation/04,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/AdminAlexaBledina/AlexaDocumentation/05,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/AdminAlexaBledina/AlexaDocumentation/05,RegisterBirthdayIntent,1,month,MonthType
,repos/AdminAlexaBledina/AlexaDocumentation/05,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/AdminAlexaBledina/AlexaDocumentation/05_intent_chaining,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/AdminAlexaBledina/AlexaDocumentation/05_intent_chaining,RegisterBirthdayIntent,1,month,MonthType
,repos/AdminAlexaBledina/AlexaDocumentation/05_intent_chaining,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/AdminAlexaBledina/AlexaDocumentation/06,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/AdminAlexaBledina/AlexaDocumentation/06,RegisterBirthdayIntent,1,month,MonthType
,repos/AdminAlexaBledina/AlexaDocumentation/06,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/AdminAlexaBledina/AlexaDocumentation/07,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/AdminAlexaBledina/AlexaDocumentation/07,RegisterBirthdayIntent,1,month,MonthType
