skill,intent,slot_name,slot_type
repos/actionably/skill-sample-nodejs-hello-world-v1,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/adrianalic/aws-ai-qna-bot/test/alexa/test,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/adrian-grajdeanu/test/test/alexa/test,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/alexa/alexa-cookbook/feature-demos/skill-demo-dialog-delegate,PlanMyTripIntent,fromCity,AMAZON.US_CITY
repos/alexa/alexa-cookbook/feature-demos/skill-demo-intent-chaining-auto-delegate,PlanMyTripIntent,fromCity,AMAZON.US_CITY
repos/alexadev1/Hackster.IO,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/alexa-dev-hub/alexa-skill-guess-my-character,CharacterDescriptionIntent,age,AMAZON.NUMBER
repos/alexa-dev-hub/alexa-skill-guess-my-character,CharacterDescriptionIntent,gender,GenderType
repos/AlexaGroover/AlexaProject/13_Update Lambda Function,DisplayGreetings,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/15_Use Alexa SDK v1 Apdapter,DisplayGreetings,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/16_Using ResponseBuilder in Alexa SDK v1,DisplayGreetings,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/18_Use CloudWatch,DisplayGreetings,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/20_Using Cards,DisplayGreetings,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/21_Generate Audio using SSML,DisplayGreetings,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/22_Using Audio Directive,DisplayGreetings,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/23_Using Video Directive,DisplayGreetings,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/24_Using Hints in Card,DisplayGreetings,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/25_Delegate Directive,IntroWithAge,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/25_Delegate Directive,IntroWithAge,Age,AMAZON.NUMBER
repos/AlexaGroover/AlexaProject/26_ElicitSlot Directive,IntroWithAge,Age,AMAZON.NUMBER
repos/AlexaGroover/AlexaProject/26_ElicitSlot Directive,AddUserPrefrence,CountryName,AMAZON.Country
repos/AlexaGroover/AlexaProject/27_ConfirmSlot Directive,IntroWithAge,Age,AMAZON.NUMBER
repos/AlexaGroover/AlexaProject/27_ConfirmSlot Directive,AddUserPrefrence,CountryName,AMAZON.Country
repos/AlexaGroover/AlexaProject/28_ConfirmIntent Directive,IntroWithAge,Age,AMAZON.NUMBER
repos/AlexaGroover/AlexaProject/28_ConfirmIntent Directive,AddUserPrefrence,CountryName,AMAZON.Country
repos/AlexaGroover/AlexaProject/29_Obtain Device Information,DisplayGreetings,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/30_Store data in DynamoDB,IntroWithAge,Age,AMAZON.NUMBER
repos/AlexaGroover/AlexaProject/30_Store data in DynamoDB,AddUserPrefrence,CountryName,AMAZON.Country
repos/AlexaGroover/AlexaProject/31_Account Linking,IntroWithAge,Age,AMAZON.NUMBER
repos/AlexaGroover/AlexaProject/31_Account Linking,AddUserPrefrence,CountryName,AMAZON.Country
repos/AlexaGroover/AlexaProject/32_State Management,PersonNameIntent,PersonName,AMAZON.Person
repos/AlexaGroover/AlexaProject/33_Use Multi language,PersonNameIntent,PersonName,AMAZON.Person
repos/alexa-labs/alexa-dev-days/iot/update-shadow,CityIntent,city,AMAZON.EUROPE_CITY
repos/alexapoc/small-business-lead-form-skill,SmallBusinessLeadFormIntent,firstName,AMAZON.FirstName
repos/alexapoc/small-business-lead-form-skill,SmallBusinessLeadFormIntent,lastName,AMAZON.Person
repos/alexapoc/small-business-lead-form-skill,SmallBusinessLeadFormIntent,contactNumber,AMAZON.PhoneNumber
repos/alexapoc/small-business-lead-form-skill,SmallBusinessLeadFormIntent,emailAddress,AMAZON.SearchQuery
