violation,skillid,skill name,github developer,store developer,github description,store description
,B08HN4DQN7,Vowel Counter,repos/aarlin/vowel-counter,aarlin,"Guess a number, and Alexa will tell you if you need to guess higher or lower. She will also tell you how many times you have played.","Tell Alexa the number of vowels, and Alexa will tell you if you need to guess higher or lower. She will also tell you how many times you have played."
,B08YRS69GP,The Snowy Day Trivia Game,repos/acedonadriatico/The-Snowy-Day-Trivia-Game,Ace Don Adriatico,"Play a trivia game on the Amazon Original, ""The Snowy Day.""Play on an Echo Show 10 (3rd Gen) for fun motion experiences!","Play a trivia game on the Amazon Original, ""The Snowy Day.""Play on an Echo Show 10 (3rd Gen) for fun motion experiences!"
,B07HB3GG7W,Guru Devs,repos/ACloudGuru/AlexaDevs/Episode6/Devs,Trisome,Watch the "Alexa Devs" series from A Cloud Guru,Watch the "Alexa Devs" series from A Cloud Guru
,B08X22GNPB,Music Game,repos/agshubham007/skill_multimodal,Shubham,A quiz with best fun filled categories ranging from Dialogues and Songs from Hollywood and Bollywood. This is an all in one quiz for friends and family. Just enable it and play it with friends and family.,A quiz with best fun filled categories ranging from Dialogues and Songs from Hollywood and Bollywood. This is an all in one quiz for friends and family. Just enable it and play it with friends and family.
,B08K8W48S1,5pm Somewhere,repos/arnabanerji/5pm-somewhere/skill,AB Development,"The last time someone told you ""it's 5 PM somewhere,"" did you wonder where that somewhere was? Alexa will happily answer that question for you.","The last time someone told you ""it's 5 PM somewhere,"" did you wonder where that somewhere was? Alexa will happily answer that question for you."
,B09Q2Z1CBW,Shiv Nadar School Faridabad Food Menu,repos/AshutoshSundresh/SoulfairProject,Ashutosh Sundresh,"This skill provides the food menu for SNS Faridabad. It has various features:The main things the skill will handle while fetching data are: 1. Identify the specific day requested by the user as well as key words used such as tomorrow, yesterday and today.2. Identify whether only lunch or breakfast information is required. Fallback to providing both lunch and breakfast information if there's no explicit command for either one of them.3. Properly handle a situation where no data is available.Source code: https://github.com/AshutoshSundresh/SoulfairProject","This skill provides the food menu for SNS Faridabad. It has various features:The main things the skill will handle while fetching data are: 1. Identify the specific day requested by the user as well as key words used such as tomorrow, yesterday and today.2. Identify whether only lunch or breakfast information is required. Fallback to providing both lunch and breakfast information if there's no explicit command for either one of them.3. Properly handle a situation where no data is available.Source code: https://github.com/AshutoshSundresh/SoulfairProject"
,B07P6XCZ1T,Video Game Finder,repos/AustinMathuw/VideoGameFinder,Austin Wilson,"As a freshman in college, I am always running around and I cherish my downtime. When I do have downtime, I love to play story driven games and get really immersed in their stories.However, because of my lack of time, I often find myself replaying games for one simple reason. It is hard to discover new games when you don't have time to research them. This reason is what lead me to create ""Video Game Finder"".","As a freshman in college, I am always running around and I cherish my downtime. When I do have downtime, I love to play story driven games and get really immersed in their stories.However, because of my lack of time, I often find myself replaying games for one simple reason. It is hard to discover new games when you don't have time to research them. This reason is what lead me to create ""Video Game Finder""."
,B07NPC1W56,Fork On The Road,repos/benursu/Afrosquared-ForkOnTheRoad/skill,Ben Ursu,Looks like you need some help making a decision. Let the "Fork On The Road" be your guide. Add up to four things for the fork to choose from. Then spin the fork to choose your path.,Looks like you need some help making a decision. Let the "Fork On The Road" be your guide. Add up to four things for the fork to choose from. Then spin the fork to choose your path.
,B08PZBNBSF,BlitzBudget,repos/BlitzBudget/lambda-functions/Alexa/Alexa Skills,BlitzBudget,"The BlitzBudget skill provides yet another means to manage your personal finances including budgets, transactions, goals and more.You can ask the BlitzBudget skill for information about:Ask for information- Expense by date- Earnings by date- Transaction total by date- Get your current budget- Get your default wallet for Alexa- Get your default account for the wallet- Get your tag's transaction balance- See how much you have left to spend in a category- See how much you have spend in a category- Send a new feature requestAdd information- Add a new category by date- Add a new wallet with a currency- Add a new goal for the wallet- Add a new budget for the wallet- Add a new transaction for in the wallet.Change information:- Change your budget for the default wallet- Change your default account for your wallet- Change your default wallet for AlexaDisclaimer: Your financial information will be read aloud and/or displayed visually.Note: A BlitzBudget account might be required to use this skill","The BlitzBudget skill provides yet another means to manage your personal finances including budgets, transactions, goals and more.You can ask the BlitzBudget skill for information about:Ask for information- Expense by date- Earnings by date- Transaction total by date- Get your current budget- Get your default wallet for Alexa- Get your default account for the wallet- Get your tag's transaction balance- See how much you have left to spend in a category- See how much you have spend in a category- Send a new feature requestAdd information- Add a new category by date- Add a new wallet with a currency- Add a new goal for the wallet- Add a new budget for the wallet- Add a new transaction for in the wallet.Change information:- Change your budget for the default wallet- Change your default account for your wallet- Change your default wallet for AlexaDisclaimer: Your financial information will be read aloud and/or displayed visually.Note: A BlitzBudget account might be required to use this skill"
unrelated privacy policy,B07W3YDGVX,Profession Finder,repos/boobo94/probot,Bogdan Alexandru Militaru,"Profession Finder helps you to determine your professional typology. It focuses on career and vocational choice, suggesting ideal professions for you. The project is based on RIASEC technique which groups people on the basis of their suitability for six different categories of occupations.You'll receive a test with multiple questions where the answers are simply yes or no. In any moment, you have the possibility to ask Profession Finder to repeat the question for you. When the test ends, the results for your typology and a short description will be received, together with suggestions of professions suitable for your profile.Your results will be stored, making them available for you in any moment.This skill is provided for educational and entertainment use only.We don't track your results in any way, them are stored only for you.","Profession Finder helps you to determine your professional typology. It focuses on career and vocational choice, suggesting ideal professions for you. The project is based on RIASEC technique which groups people on the basis of their suitability for six different categories of occupations.You'll receive a test with multiple questions where the answers are simply yes or no. In any moment, you have the possibility to ask Profession Finder to repeat the question for you. When the test ends, the results for your typology and a short description will be received, together with suggestions of professions suitable for your profile.Your results will be stored, making them available for you in any moment.This skill is provided for educational and entertainment use only.We don't track your results in any way, them are stored only for you."
